can_id,extended,direction,dlc,message,pgn,src,dst,start_bit,end_bit,bits,scale,offset
0x18EF0000,1,TX,8,FFC_00EF_LITH_BMS_Command,0x0EF00,0x00,0x00,0,7,8,1.0,0.0
0x18EF0000,1,TX,8,FFC_00EF_LITH_BMS_Command,0x0EF00,0x00,0x00,8,15,8,1.0,0.0
0x18EF0000,1,TX,8,FFC_00EF_LITH_BMS_Command,0x0EF00,0x00,0x00,16,23,8,1.0,0.0
0x18EF0000,1,TX,8,FFC_00EF_LITH_BMS_Command,0x0EF00,0x00,0x00,24,31,8,1.0,0.0
0x18EF0000,1,TX,8,FFC_00EF_LITH_BMS_Command,0x0EF00,0x00,0x00,32,63,32,1.0,0.0
0x18EF0046,1,RX,8,FFC_00EF_LITH_BMS_Response,0x0EF00,0x46,0x00,8,15,8,1.0,0.0
0x18EF0046,1,RX,8,FFC_00EF_LITH_BMS_Response,0x0EF00,0x46,0x00,16,23,8,1.0,0.0
0x18EF0046,1,RX,8,FFC_00EF_LITH_BMS_Response,0x0EF00,0x46,0x00,24,31,8,1.0,0.0
0x18EF0046,1,RX,8,FFC_00EF_LITH_BMS_Response,0x0EF00,0x46,0x00,32,63,32,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,8,15,8,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,16,23,8,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,24,31,8,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,32,39,8,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,40,40,1,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,41,41,1,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,42,42,1,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,43,43,1,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,44,44,1,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,45,45,1,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,46,46,1,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,47,47,1,1.0,0.0
0x18FF8046,1,RX,8,FFC_FF80_LITH_BMS_Info,0x0FF80,0x46,,48,48,1,1.0,0.0
