id,name,unit,role,subsystem
836,J1939.Lithionics.LITH_Batt_DC_Power,W,VAR,Battery (Lithionics)
837,J1939.Lithionics.LITH_Batt_DCCurr,A,VAR,Battery (Lithionics)
838,J1939.Lithionics.LITH_Batt_DCVolt,V,VAR,Battery (Lithionics)
839,J1939.Lithionics.LITH_BattID,,VAR,Battery (Lithionics)
840,J1939.Lithionics.LITH_Batt_DischargeCapacityRemaining,,VAR,Battery (Lithionics)
841,J1939.Lithionics.LITH_Batt_StateOfHealth,%,VAR,Battery (Lithionics)
842,J1939.Lithionics.LITH_Batt_StateOCharge,%,VAR,Battery (Lithionics)
843,J1939.Lithionics.LITH_Batt_Temp,C,VAR,Battery (Lithionics)
844,J1939.Lithionics.LITH_Batt_TimeRemaining,min,VAR,Battery (Lithionics)
1001,Lith_Num_Sensors,,VAR,Battery (Lithionics)
1002,Lith_BMSTemp,,VAR,Battery (Lithionics)
1003,Lith_BMS_Warn_ChargeSource,,VAR,Battery (Lithionics)
1004,Lith_BMS_Warn_NeverDie,,VAR,Battery (Lithionics)
1005,Lith_MaxTemp,,VAR,Battery (Lithionics)
1006,Lith_MinTemp,,VAR,Battery (Lithionics)
1007,Lith_BMS_Warn_HighVoltage,,VAR,Battery (Lithionics)
1008,Lith_BMS_Warn_CellLoopOpen,,VAR,Battery (Lithionics)
1009,Lith_BMS_Warn_BelowRVC,,VAR,Battery (Lithionics)
1010,Lith_BMS_Warn_AUXContacts_State,,VAR,Battery (Lithionics)
1011,Lith_BMS_Warn_AuxContacts_Err,,VAR,Battery (Lithionics)
1012,Lith_BMS_Warn_PreCharge_Err,,VAR,Battery (Lithionics)
1013,Lith_BMS_Warn_ContactorFlutter,,VAR,Battery (Lithionics)
1014,Lith_BMS_Warn_ACPower_State,,VAR,Battery (Lithionics)
1015,Lith_BMS_Warn_TSMCharger_State,,VAR,Battery (Lithionics)
1016,Lith_BMS_Warn_TSMCharger_Err,,VAR,Battery (Lithionics)
1017,Lith_BMS_Warn_TempIntSensor_Err,,VAR,Battery (Lithionics)
1018,Lith_BMS_Warn_LowVoltage,,VAR,Battery (Lithionics)
1019,Lith_BMS_Warn_BattProtection,,VAR,Battery (Lithionics)
1020,Lith_BMS_Warn_PowerOff,,VAR,Battery (Lithionics)
1021,Lith_BMS_Warn_AGSR_State,,VAR,Battery (Lithionics)
1022,Lith_BMS_Warn_HotTemp_State,,VAR,Battery (Lithionics)
1023,Lith_BMS_Warn_ColdTemp_State,,VAR,Battery (Lithionics)
1024,Lith_BMS_Warn_AUXIN1_State,,VAR,Battery (Lithionics)
1025,Lith_BMS_Warn_ChargeDisable_State,,VAR,Battery (Lithionics)
1026,Lith_BMS_Warn_Overcurrent_State,,VAR,Battery (Lithionics)
1141,Lithionics_PowerFlow_Converted,W,VAR,Battery (Lithionics)
1338,Lith_Send,,VAR,Battery (Lithionics)
1339,Lith_On,,VAR,Battery (Lithionics)
1340,Lith_Off,,VAR,Battery (Lithionics)
43,J1939.Engine.Engine Speed,RPM,VAR,Bus/infra
54,CANPort1.Resistor,,VAR,Bus/infra
56,CANPort2.Resistor,,VAR,Bus/infra
58,CANPort1.Address,,VAR,Bus/infra
60,CANPort2.Address,,VAR,Bus/infra
62,CANPort3.Address,,VAR,Bus/infra
71,Modbus.Exception.Slave.Address,,VAR,Bus/infra
73,Modbus.Exception.Slave.Group,,VAR,Bus/infra
